#NAME	A1	A2	A3	A7	A8	A9
ASV_262	0	0	0	69	58	60
ASV_263	55	50	80	0	0	0
ASV_264	0	0	0	102	36	46
ASV_265	0	0	0	96	34	54
ASV_266	0	0	0	64	56	64
ASV_267	69	0	91	23	0	0
ASV_268	48	46	89	0	0	0
ASV_269	0	0	0	92	54	36
ASV_270	73	43	65	0	0	0
ASV_271	0	0	0	82	41	58
ASV_272	0	0	0	75	47	56
ASV_273	0	0	0	65	30	83
ASV_274	0	0	0	65	50	63
ASV_275	0	0	0	64	52	62
ASV_276	0	0	0	53	101	24
ASV_277	0	0	0	62	44	71
ASV_278	35	61	80	0	0	0
ASV_279	0	0	0	126	0	50
ASV_280	76	43	56	0	0	0
ASV_281	67	51	57	0	0	0
ASV_282	90	0	84	0	0	0
ASV_283	36	77	61	0	0	0
ASV_284	0	107	67	0	0	0
ASV_285	80	36	56	0	0	0
ASV_286	0	0	0	68	47	56
ASV_287	0	0	0	61	40	70
ASV_288	0	0	0	81	23	66
ASV_289	82	32	55	0	0	0
ASV_290	73	57	39	0	0	0
ASV_291	31	68	70	0	0	0
ASV_292	0	0	0	169	0	0
ASV_293	0	0	0	105	0	64
ASV_294	44	45	79	0	0	0
ASV_295	0	0	0	110	30	27
ASV_296	57	39	70	0	0	0
ASV_297	55	55	56	0	0	0
ASV_298	50	48	68	0	0	0
ASV_299	36	60	70	0	0	0
ASV_300	0	0	0	77	34	55
ASV_301	0	0	0	69	38	59
ASV_302	0	0	0	64	36	65
ASV_303	0	0	0	61	43	61
ASV_304	0	0	0	61	53	50
ASV_305	0	88	75	0	0	0
ASV_306	0	0	0	71	32	59
ASV_307	79	0	82	0	0	0
ASV_308	75	25	61	0	0	0
ASV_309	57	52	52	0	0	0
ASV_310	56	55	50	0	0	0
ASV_311	0	27	30	41	35	28
ASV_312	0	0	0	47	50	64
ASV_313	0	0	0	112	48	0
ASV_314	0	0	0	69	43	48
ASV_315	74	0	85	0	0	0
ASV_316	63	39	56	0	0	0
ASV_317	89	0	68	0	0	0
ASV_318	74	43	40	0	0	0
ASV_319	54	51	52	0	0	0
ASV_320	32	38	48	20	0	19
ASV_321	0	0	0	73	33	51
ASV_322	0	0	0	62	40	55
ASV_323	0	0	0	57	43	57
ASV_324	44	57	55	0	0	0
ASV_325	0	0	0	79	33	44
ASV_326	0	0	0	71	29	56
ASV_327	0	0	0	67	35	54
ASV_328	87	68	0	0	0	0
ASV_329	0	0	0	90	33	32
ASV_330	0	0	0	77	37	41
ASV_331	0	0	0	63	43	49
ASV_332	0	0	0	154	0	0
ASV_333	70	44	39	0	0	0
ASV_334	39	68	39	0	7	0
ASV_335	14	0	0	55	38	46
ASV_336	95	0	56	0	0	0
ASV_337	92	59	0	0	0	0
ASV_338	43	38	33	0	0	36
ASV_339	43	40	67	0	0	0
ASV_340	0	0	0	57	42	51
ASV_341	0	0	0	34	28	88
ASV_342	23	67	59	0	0	0
ASV_343	0	0	0	71	24	54
ASV_344	69	0	79	0	0	0
ASV_345	52	33	63	0	0	0
ASV_346	0	39	45	0	0	64
ASV_347	0	0	0	0	148	0
ASV_348	88	32	27	0	0	0
ASV_349	36	43	68	0	0	0
ASV_350	0	0	0	74	33	40
ASV_351	0	0	0	0	72	75
ASV_352	67	0	79	0	0	0
ASV_353	75	0	70	0	0	0
ASV_354	30	29	45	0	29	12
ASV_355	27	53	65	0	0	0
ASV_356	0	0	0	60	40	45
ASV_357	0	68	76	0	0	0
ASV_358	80	25	38	0	0	0
ASV_359	0	0	0	47	49	47
ASV_360	42	44	56	0	0	0
ASV_361	36	26	50	12	0	17
ASV_362	0	0	0	62	0	79
ASV_363	0	0	0	52	39	49
ASV_364	59	30	49	0	0	0
ASV_365	55	28	55	0	0	0
ASV_366	0	0	0	60	44	34
ASV_367	0	0	0	56	35	46
ASV_368	24	52	60	0	0	0
ASV_369	51	0	83	0	0	0
ASV_370	0	0	0	54	39	40
ASV_371	47	27	58	0	0	0
ASV_372	0	0	0	57	32	43
ASV_373	0	0	0	56	32	44
ASV_374	71	60	0	0	0	0
ASV_375	60	0	71	0	0	0
ASV_376	67	0	63	0	0	0
ASV_377	0	0	0	64	66	0
