Kingdom	Phylum	Class	Order	Family	Genus	A1	A2	A3	A7	A8	A9
187	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	Terracidiphilus	98	69	81	0	0	0
188	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA	76	94	78	0	0	0
189	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	NA	93	83	71	0	0	0
190	Bacteria	Myxococcota	Myxococcia	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter	0	0	0	117	67	63
191	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	NA	0	0	0	116	75	55
192	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	NA	NA	104	82	58	0	0	0
193	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Xiphinematobacteraceae	Candidatus Xiphinematobacter	78	66	100	0	0	0
194	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	ADurb.Bin063-1	0	0	16	101	67	60
195	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter	0	0	0	132	47	65
196	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	Luedemannella	0	0	0	61	65	118
197	Bacteria	Proteobacteria	Alphaproteobacteria	Reyranellales	Reyranellaceae	Reyranella	116	51	75	0	0	0
198	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	82	96	63	0	0	0
199	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Pedomicrobium	47	47	48	0	0	99
200	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	NA	0	0	0	103	51	87
201	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	NA	0	0	0	108	62	70
202	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Candidatus Solibacter	79	94	66	0	0	0
203	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	0	0	0	114	45	79
204	Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	NA	NA	72	75	90	0	0	0
205	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Candidatus Solibacter	85	51	99	0	0	0
206	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	83	70	82	0	0	0
207	Bacteria	Desulfobacterota	Desulfuromonadia	Geobacterales	Geobacteraceae	NA	0	0	0	80	65	90
208	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	109	69	56	0	0	0
209	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptacidiphilus	100	0	133	0	0	0
