Kingdom	Phylum	Class	Order	Family	Genus
ASV_126	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Candidatus Udaeobacter
ASV_127	Archaea	Crenarchaeota	Bathyarchaeia	NA	NA	NA
ASV_128	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Koribacteraceae	Candidatus Koribacter
ASV_129	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA
ASV_130	Bacteria	WPS-2	NA	NA	NA	NA
ASV_131	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
ASV_132	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylocystis
ASV_133	Bacteria	WPS-2	NA	NA	NA	NA
ASV_134	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA
ASV_135	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	HSB OF53-F07
ASV_136	Bacteria	Acidobacteriota	Holophagae	Subgroup 7	NA	NA
ASV_137	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium
ASV_138	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium
ASV_139	Bacteria	WPS-2	NA	NA	NA	NA
ASV_140	Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	NA	NA
ASV_141	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	NA
ASV_142	Bacteria	Chloroflexi	AD3	NA	NA	NA
ASV_143	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	NA	NA
ASV_144	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Rhodoplanes
ASV_145	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA
ASV_146	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	NA
ASV_147	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA
ASV_148	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Acidibacter
ASV_149	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA
ASV_150	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	NA
ASV_151	Bacteria	Desulfobacterota	Desulfuromonadia	Geobacterales	Geobacteraceae	NA
ASV_152	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Roseiarcus
ASV_153	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 2	NA	NA
ASV_154	Bacteria	Acidobacteriota	Subgroup 5	NA	NA	NA
ASV_155	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA
ASV_156	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA
ASV_157	Bacteria	GAL15	NA	NA	NA	NA
ASV_158	Bacteria	WPS-2	NA	NA	NA	NA
ASV_159	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 2	NA	NA
ASV_160	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	NA	NA
ASV_161	Bacteria	WPS-2	NA	NA	NA	NA
ASV_162	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	NA
ASV_163	Bacteria	Acidobacteriota	Blastocatellia	11-24	NA	NA
ASV_164	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	NA	NA
ASV_165	Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	NA	NA
ASV_166	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus
ASV_167	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	NA	NA
ASV_168	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	NA	NA
ASV_169	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	Terracidiphilus
ASV_170	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	NA
ASV_171	Bacteria	WPS-2	NA	NA	NA	NA
ASV_172	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium
ASV_173	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 2	NA	NA
ASV_174	Archaea	Crenarchaeota	Nitrososphaeria	Group 1.1c	NA	NA
ASV_175	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Candidatus Udaeobacter
ASV_176	Bacteria	Firmicutes	Bacilli	Bacillales	NA	NA
ASV_177	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Dechloromonas
ASV_178	Bacteria	Chloroflexi	TK10	NA	NA	NA
ASV_179	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	NA	NA
ASV_180	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	NA
ASV_181	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	Rugosimonospora
ASV_182	Bacteria	Chloroflexi	KD4-96	NA	NA	NA
ASV_183	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	Ellin6067
ASV_184	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	NA
ASV_185	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhodomicrobiaceae	Rhodomicrobium
ASV_186	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Xiphinematobacteraceae	Candidatus Xiphinematobacter
ASV_187	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	Terracidiphilus
ASV_188	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA
ASV_189	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	NA
ASV_190	Bacteria	Myxococcota	Myxococcia	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter
ASV_191	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	NA
ASV_192	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	NA	NA
ASV_193	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Xiphinematobacteraceae	Candidatus Xiphinematobacter
ASV_194	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	ADurb.Bin063-1
ASV_195	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter
ASV_196	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	Luedemannella
ASV_197	Bacteria	Proteobacteria	Alphaproteobacteria	Reyranellales	Reyranellaceae	Reyranella
ASV_198	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus
ASV_199	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Pedomicrobium
ASV_200	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	NA
ASV_201	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	NA
ASV_202	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Candidatus Solibacter
ASV_203	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia
ASV_204	Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	NA	NA
ASV_205	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Candidatus Solibacter
ASV_206	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus
ASV_207	Bacteria	Desulfobacterota	Desulfuromonadia	Geobacterales	Geobacteraceae	NA
ASV_208	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus
ASV_209	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptacidiphilus
ASV_210	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 1
ASV_211	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	NA
ASV_212	Bacteria	Chloroflexi	AD3	NA	NA	NA
ASV_213	Bacteria	Chloroflexi	Ktedonobacteria	B12-WMSP1	NA	NA
ASV_214	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	NA
ASV_215	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA
ASV_216	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	JG30-KF-AS9	NA
ASV_217	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	NA	NA
ASV_218	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Candidatus Solibacter
ASV_219	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylovirgula
ASV_220	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA
ASV_221	Bacteria	WPS-2	NA	NA	NA	NA
ASV_222	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella
ASV_223	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	NA	NA
ASV_224	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	NA	NA
ASV_225	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA
ASV_226	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	NA
ASV_227	Archaea	Crenarchaeota	Nitrososphaeria	Group 1.1c	NA	NA
ASV_228	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium
ASV_229	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA
ASV_230	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Kitasatospora
ASV_231	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidicaldus
ASV_232	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	NA	NA
ASV_233	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	NA	NA
ASV_234	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	NA	NA
ASV_235	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	NA	NA
ASV_236	Bacteria	Myxococcota	bacteriap25	NA	NA	NA
ASV_237	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	NA
ASV_238	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides
ASV_239	Bacteria	WPS-2	NA	NA	NA	NA
ASV_240	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus
ASV_241	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA
ASV_242	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia
ASV_243	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Zavarzinella
ASV_244	Bacteria	GAL15	NA	NA	NA	NA
